2013-04-24 17:02:01 status unpacked libpam0g:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 install libpcre3:amd64 <none> 1:8.31-2
2013-04-24 17:02:01 status half-installed libpcre3:amd64 1:8.31-2
2013-04-24 17:02:01 status unpacked libpcre3:amd64 1:8.31-2
2013-04-24 17:02:01 status unpacked libpcre3:amd64 1:8.31-2
2013-04-24 17:02:01 install libplymouth2:amd64 <none> 0.8.8-0ubuntu6
2013-04-24 17:02:01 status half-installed libplymouth2:amd64 0.8.8-0ubuntu6
2013-04-24 17:02:01 status unpacked libplymouth2:amd64 0.8.8-0ubuntu6
2013-04-24 17:02:01 status unpacked libplymouth2:amd64 0.8.8-0ubuntu6
2013-04-24 17:02:01 install libpng12-0:amd64 <none> 1.2.49-1ubuntu2
2013-04-24 17:02:01 status half-installed libpng12-0:amd64 1.2.49-1ubuntu2
2013-04-24 17:02:01 status unpacked libpng12-0:amd64 1.2.49-1ubuntu2
2013-04-24 17:02:01 status unpacked libpng12-0:amd64 1.2.49-1ubuntu2
2013-04-24 17:02:01 install libprocps0:amd64 <none> 1:3.3.3-2ubuntu5
2013-04-24 17:02:01 status half-installed libprocps0:amd64 1:3.3.3-2ubuntu5
2013-04-24 17:02:01 status unpacked libprocps0:amd64 1:3.3.3-2ubuntu5
2013-04-24 17:02:01 status unpacked libprocps0:amd64 1:3.3.3-2ubuntu5
2013-04-24 17:02:01 install libselinux1:amd64 <none> 2.1.9-5ubuntu1
2013-04-24 17:02:01 status half-installed libselinux1:amd64 2.1.9-5ubuntu1
2013-04-24 17:02:01 status unpacked libselinux1:amd64 2.1.9-5ubuntu1
2013-04-24 17:02:01 status unpacked libselinux1:amd64 2.1.9-5ubuntu1
2013-04-24 17:02:01 install libsemanage-common:all <none> 2.1.6-6ubuntu1
2013-04-24 17:02:01 status half-installed libsemanage-common:all 2.1.6-6ubuntu1
2013-04-24 17:02:01 status unpacked libsemanage-common:all 2.1.6-6ubuntu1
2013-04-24 17:02:01 status unpacked libsemanage-common:all 2.1.6-6ubuntu1
2013-04-24 17:02:01 install libsemanage1:amd64 <none> 2.1.6-6ubuntu1
